,age_range,gender,marital_status,region,highest_education,school,graduation,study_programme,employment_status,last_year_benefitted,total_loan,loan_purpose,repayment_status,repayment_info_source,repayment_method,repayment_method_convenience,effectiveness_repayment_method,collection_strategy_effectiveness,interaction_quality_on_repayment,alternative_collection_strategies,overall_experience_with_loan_process,reCoMmendations
25,Above 49,Female,Married,Central,Doctorate,Chanco,2003.0,Theology_and_Religious_Studies,Employed_fulltime,2002,"Above MWK1,000,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,neutral,neutral,effective,neutral,Automate reminders,neutral,"Improve communication and follow-up, Simplify repayment methods"
26,28 to 37,Male,Single,Central,Bachelor,Chanco,2013.0,Theology_and_Religious_Studies,Self_employed,2012,"Above MWK1,000,000",Tuition,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Improve tracking with colleges,neutral,"Improve communication and follow-up, Provide more flexible repayment plans"
27,38 to 48,Female,Divorced,Southern,Master,Mzuni,2016.0,Theology_and_Religious_Studies,Employed_parttime,2015,"Above MWK1,000,000",Tuition_Living_Stationery,Partially_paid,Inperson,voluntary_monthly,neutral,neutral,neutral,neutral,Improve communication strategies,neutral,"Improve communication and follow-up, Reduce interest rates"
28,28 to 37,Male,Single,Central,Bachelor,Chanco,2013.0,Theology_and_Religious_Studies,Self_employed,2012,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Automate,neutral,Improve communication and follow-up
29,28 to 37,Male,Married,Central,Bachelor,Chanco,2016.0,Theology_and_Religious_Studies,Employed_parttime,2015,"MWK 600,001 – MWK 1,000,000",Living,Partially_paid,Inperson,voluntary_monthly,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,"Improve communication and follow-up, Provide more flexible repayment plans"
30,28 to 37,Male,Married,northern,Bachelor,Mzuni,2013.0,Theology_and_Religious_Studies,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living_Stationery,Partially_paid,Email,monthly_salary,inconvenient,ineffective,neutral,neutral,accountability_reporting,neutral,Improve communication and follow-up
31,Above 49,Male,Divorced,northern,Doctorate,Chanco,2002.0,Theology_and_Religious_Studies,Employed_fulltime,2001,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,voluntary_monthly,inconvenient,ineffective,neutral,neutral,Clear communication,neutral,"Improve communication and follow-up, Provide more flexible repayment plans, Reduce interest rates"
32,28 to 37,Male,Single,Southern,Bachelor,Chanco,2013.0,Theology_and_Religious_Studies,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,monthly_salary,inconvenient,ineffective,neutral,neutral,accountability_reporting,neutral,"Improve communication and follow-up, Provide more flexible repayment plans"
33,21 to 27,Male,Single,Central,Bachelor,Chanco,2016.0,Theology_and_Religious_Studies,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,ineffective,neutral,Automate the system,neutral,"Simplify repayment methods, Provide more flexible repayment plans, Reduce interest rates"
34,38 to 48,Male,Married,Central,Master,Chanco,2014.0,Theology_and_Religious_Studies,Employed_fulltime,2013,"MWK 600,001 – MWK 1,000,000",Tuition,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,"Improve communication and follow-up, Reduce interest rates"
35,38 to 48,Female,Married,northern,Bachelor,Chanco,2017.0,Theology_and_Religious_Studies,Employed_fulltime,2016,"MWK 600,001 – MWK 1,000,000",Tuition,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,Improve communication and follow-up
36,38 to 48,Male,Married,northern,Bachelor,Chanco,2014.0,Theology_and_Religious_Studies,Employed_fulltime,2013,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Improve tracking with universities ,neutral,"Improve communication and follow-up, Reduce interest rates"
37,38 to 48,Female,Married,Southern,Master,Chanco,2013.0,Theology_and_Religious_Studies,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,monthly_salary,inconvenient,ineffective,neutral,neutral,Improve tracking with colleges,neutral,Improve communication and follow-up
38,28 to 37,Male,Single,Central,Bachelor,Chanco,2017.0,Theology_and_Religious_Studies,Employed_fulltime,2017,"Above MWK1,000,000",Tuition_Living,not_paid,Phonecall,none,inconvenient,ineffective,neutral,neutral,Improve tracking with colleges,neutral,Improve communication and follow-up
39,28 to 37,Male,Married,Central,Bachelor,Chanco,2017.0,Theology_and_Religious_Studies,Employed_fulltime,2016,"MWK 600,001 – MWK 1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Improve tracking with universities,neutral,Improve communication and follow-up
40,28 to 37,Male,Single,Southern,Bachelor,Chanco,2017.0,Sociology,Employed_fulltime,2016,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,Improve communication and follow-up
41,21 to 27,Female,Single,northern,Bachelor,Chanco,2011.0,Sociology,Unemployed,2010,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,ineffective,neutral,Automate the system,neutral,"Provide more flexible repayment plans, Reduce interest rates"
42,28 to 37,Male,Single,Central,Bachelor,Chanco,2016.0,Sociology,Self_employed,2015,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,accountability_reporting,neutral,"Improve communication and follow-up, Reduce interest rates"
43,28 to 37,Male,Single,Central,Bachelor,Chanco,2017.0,Sociology,Employed_parttime,2016,"Above MWK1,000,000",Tuition_Living_Stationery,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,accountability_reporting,neutral,"Improve communication and follow-up, Provide more flexible repayment plans"
44,28 to 37,Female,Married,Southern,Bachelor,Chanco,2011.0,Sociology,Employed_fulltime,2010,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,accountability_reporting,neutral,"Improve communication and follow-up, Reduce interest rates"
45,28 to 37,Male,Married,Central,Bachelor,Luanar ,2017.0,Agricultural_Technology,Employed_fulltime,2016,"MWK 300,001 – MWK 500,000",Tuition_Living,Partially_paid,Email_Inperson,monthly_salary,neutral,effective,ineffective,negative,Develop a borrower segmentation strategy,Dissatisfied,Reduce interest rates
46,28 to 37,Male,Single,Central,Bachelor,Luanar,2017.0,Agricultural_Technology,Employed_fulltime,2016,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,voluntary_monthly,inconvenient,ineffective,neutral,neutral,accountability_reporting,neutral,"Improve communication and follow-up, Simplify repayment methods, Reduce interest rates"
47,38 to 48,Male,Married,Central,Master,Poly,2012.0,Commerce,Employed_fulltime,2011,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,monthly_salary,inconvenient,ineffective,effective,neutral,Improve tracking with universities,neutral,"Provide more flexible repayment plans, Reduce interest rates"
48,Above 49,Female,Married,Central,Doctorate,Chanco ,2013.0,Humanities,Employed_fulltime,2004,"MWK 600,001 – MWK 1,000,000",Tuition_Living_Stationery,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Offer rewards for timely payments or early settlements ,Very satisfied,"Simplify repayment methods, Reduce interest rates"
49,Above 49,Male,Married,Central,Doctorate,Chanco,2004.0,Humanities,Employed_fulltime,2003,"MWK 600,001 – MWK 1,000,000",Tuition_Living_Stationery,Partially_paid,Inperson,monthly_salary,convenient,effective,neutral,neutral,Regular follow ups,neutral,"Improve communication and follow-up, Simplify repayment methods"
50,28 to 37,Female,Married,Southern,Bachelor,Mzuni,2005.0,Sports_Management,Employed_fulltime,2004,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Inperson,oneoff,convenient,effective,effective,positive,Identify borrowers at risk of default and offer assistance before they miss payments,neutral,Reduce interest rates
51,28 to 37,Male,Married,Southern,Bachelor,Poly,2016.0,Business_Administration,Employed_fulltime,2015,"MWK 600,001 – MWK 1,000,000",Tuition_Living,not_paid,Email,none,neutral,neutral,neutral,neutral,Regular follow ups,neutral,"Improve communication and follow-up, Reduce interest rates"
52,Above 49,Female,Divorced,Southern,Master,Chanco,2002.0,Cultural_Studies,Self_employed,2001,"MWK 300,001 – MWK 500,000",Tuition_Living_Stationery,Fully_paid,Inperson_Employer,monthly_salary,very_convenient,very_effective,very_effective,positive,Work with borrowers to find matually beneficial solutions,Very satisfied,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans"
53,Above 49,Male,Married,northern,Doctorate,Chanco,2001.0,Media_for_Development,Employed_fulltime,2000,"MWK 300,001 – MWK 500,000",Living_Stationery,Fully_paid,Inperson_Employer,monthly_salary,neutral,neutral,neutral,neutral,"Develop skills and knowledge in collection, negotiation and customer service",Satisfied,"Improve communication and follow-up, Provide more flexible repayment plans"
54,28 to 37,Male,Single,Central,Master,Chanco,2017.0,Bachelor_of_Arts_Political_Science,Employed_fulltime,2016,"Less than MWK 200,000",Living_Stationery,Fully_paid,Email_Inperson_Employer,monthly_salary,convenient,effective,effective,positive,Offer rewards for timely payments,Satisfied,"Improve communication and follow-up, Provide more flexible repayment plans"
55,28 to 37,Male,Married,Southern,Bachelor,Mzuni,2014.0,Arts_Education,Employed_fulltime,2014,"MWK 300,001 – MWK 500,000",Tuition_Living_Stationery,not_paid,Employer,none,convenient,effective,effective,neutral,Automate the system,neutral,Provide more flexible repayment plans
56,38 to 48,Female,Married,Central,Master,Poly,2008.0,Business_Administration,Employed_fulltime,2007,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,accountability_reporting,Dissatisfied,"Improve communication and follow-up, Simplify repayment methods"
57,28 to 37,Male,Married,Southern,Bachelor,Poly,2016.0,Business_Administration,Employed_parttime,2015,"MWK 600,001 – MWK 1,000,000",Tuition_Living,not_paid,Email,none,neutral,neutral,neutral,neutral,Clear communication,neutral,"Improve communication and follow-up, Simplify repayment methods, Reduce interest rates"
58,21 to 27,Female,Single,Central,Bachelor,Poly,2015.0,Business_Administration,Unemployed,2014,"Above MWK1,000,000",Tuition_Living,not_paid,Email,none,neutral,neutral,effective,positive,Automate the system,neutral,"Simplify repayment methods, Provide more flexible repayment plans"
59,38 to 48,Female,Married,northern,Master,Poly,2001.0,Civil_Engineering,Employed_fulltime,2000,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,convenient,effective,effective,positive,Offer rewards for timely payments or early settlement,Satisfied,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans"
60,28 to 37,Male,Single,northern,Master,Poly,2011.0,Civil_Engineering,Employed_fulltime,2010,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Partially_paid,Email,voluntary_monthly,neutral,effective,effective,positive,CoMpliance,neutral,"Improve communication and follow-up, Provide more flexible repayment plans"
61,21 to 27,Male,Single,Central,Bachelor,Poly,2015.0,Commerce,Unemployed,2014,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Improve tracking with colleges,neutral,Improve communication and follow-up
62,28 to 37,Male,Married,northern,Bachelor,Poly,2012.0,Commerce,Employed_fulltime,2011,"MWK 300,001 – MWK 500,000",Living,Fully_paid,Phonecall_Inperson,monthly_salary,convenient,very_effective,effective,very_positive,"Develop skills and knowledge in collection, negotiation and customer services",Very satisfied,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans"
63,21 to 27,Male,Single,Central,Bachelor,Poly,2014.0,Commerce,Employed_fulltime,2013,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,accountability_reporting,Satisfied,"Improve communication and follow-up, Simplify repayment methods"
64,Above 49,Male,Married,Southern,Doctorate,Mzuni,2005.0,Education_Languages,Employed_fulltime,2003,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,convenient,neutral,neutral,neutral,Use good communication terms to remind borrowers in time,neutral,"Improve communication and follow-up, Simplify repayment methods"
65,38 to 48,Female,Married,northern,Master,Mzuni,2013.0,Arts_Education,Employed_fulltime,2003,"MWK 600,001 – MWK 1,000,000",Tuition_Living_Stationery,Fully_paid,Phonecall_Inperson_Employer,monthly_salary,convenient,effective,effective,positive,Use data insight to identify trends and areas for improvement,Very satisfied,"Simplify repayment methods, Provide more flexible repayment plans"
66,Above 49,Male,Married,Central,Doctorate,Mzuni,2012.0,Arts_Education,Employed_fulltime,2012,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Work with borrowers to find mutually beneficial solution ,Very satisfied,"Improve communication and follow-up, Provide more flexible repayment plans, Reduce interest rates"
67,Above 49,Male,Married,Southern,Doctorate,Mzuni,2000.0,Arts_Education,Employed_fulltime,1999,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Use of positive languages ,Very satisfied,"Improve communication and follow-up, Provide more flexible repayment plans"
68,Above 49,Male,Married,Central,Master,Poly,2000.0,Business_Studies,Self_employed,1999,"MWK 300,001 – MWK 500,000",Tuition_Living_Stationery,Fully_paid,Inperson_Employer,voluntary_monthly,neutral,effective,effective,positive,Track key metrics and adjust strategies accordingly ,Very satisfied,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans"
69,21 to 27,Male,Single,Central,Bachelor,Chanco,2011.0,Business_Studies,Employed_fulltime,2010,"Above MWK1,000,000",Tuition_Living,Partially_paid,Email_Inperson,monthly_salary,neutral,effective,neutral,negative,Clear communication,Dissatisfied,"Improve communication and follow-up, Simplify repayment methods, Reduce interest rates"
70,21 to 27,Male,Single,Southern,Bachelor,Mzuni,2013.0,Education_Languages,Employed_fulltime,2012,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Email_Inperson,monthly_salary,convenient,effective,effective,positive,Regular follow up,Satisfied,"Provide more flexible repayment plans, Reduce interest rates"
71,38 to 48,Male,Married,Central,Bachelor,Mzuni,2007.0,Education_Languages,Employed_fulltime,2006,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Inperson_Employer,monthly_salary,convenient,effective,effective,positive,Early intervention,Satisfied,"Improve communication and follow-up, Simplify repayment methods, Reduce interest rates"
72,38 to 48,Female,Married,Central,Bachelor,Mzuni,2015.0,Education_Languages,Employed_fulltime,2004,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Identify and address potential issues before they beCoMe major problems ,Very satisfied,"Improve communication and follow-up, Provide more flexible repayment plans"
73,21 to 27,Male,Single,Southern,Bachelor,Mzuni,2016.0,Education_Languages,Employed_fulltime,2015,"MWK 300,001 – MWK 500,000",Tuition_Stationery,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Automotive Reminders ,Very satisfied,"Improve communication and follow-up, Provide more flexible repayment plans"
74,28 to 37,Male,Married,Central,Master,Mzuni,2013.0,Education_Languages,Employed_fulltime,2010,"Above MWK1,000,000",Tuition_Living_Stationery,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Offer payment plans ,Very satisfied,"Improve communication and follow-up, Provide more flexible repayment plans"
75,21 to 27,Male,Single,Central,Bachelor,Mzuni,2016.0,Education_Science,Employed_fulltime,2015,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Email_Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Offer rewards for timely payments or early settlements ,Very satisfied,"Simplify repayment methods, Reduce interest rates"
76,28 to 37,Male,Married,Central,Bachelor,Mzuni,2016.0,Education_Science,Employed_fulltime,2015,"MWK 600,001 – MWK 1,000,000",Tuition_Living_Stationery,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Identify and address potential issues before they beCoMe major problems ,Very satisfied,"Improve communication and follow-up, Provide more flexible repayment plans"
77,Above 49,Male,Married,northern,Bachelor,Chanco ,2002.0,Education_Science,Employed_fulltime,2001,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Use of positive languages ,Very satisfied,"Improve communication and follow-up, Reduce interest rates"
78,28 to 37,Male,Single,Central,Master,Mzuni,2011.0,Education_Science,Employed_fulltime,2010,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Conduct regular audits ,Very satisfied,"Simplify repayment methods, Reduce interest rates"
79,21 to 27,Female,Single,Southern,Bachelor,Chanco ,2015.0,Education_Science,Employed_fulltime,2014,"Above MWK1,000,000",Tuition_Living,Fully_paid,Email_Phonecall,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Use of positive languages ,Very satisfied,"Improve communication and follow-up, Provide more flexible repayment plans"
80,Above 49,Female,Divorced,northern,Doctorate,Luanar,2004.0,Education_Science,Self_employed,2003,"Above MWK1,000,000",Tuition_Living,Fully_paid,Inperson,voluntary_monthly,convenient,ineffective,ineffective,negative,Use social media and online platforms,Dissatisfied,"Simplify repayment methods, Reduce interest rates"
81,Above 49,Female,Married,Southern,Master,Poly,2007.0,Education_Technical,Employed_fulltime,2006,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Phonecall_Inperson,voluntary_monthly,convenient,effective,effective,positive,Adapt their approach to individual borrower needs and circumstances,Satisfied,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans"
82,21 to 27,Male,Single,northern,Bachelor,Poly,2017.0,Education_Technical,Employed_fulltime,2016,"MWK 300,001 – MWK 500,000",Living_Stationery,Fully_paid,Email,monthly_salary,convenient,neutral,neutral,positive,Clear communication,neutral,"Improve communication and follow-up, Simplify repayment methods"
83,38 to 48,Female,Married,northern,Bachelor,Mzuni,2010.0,Education_Languages,Employed_fulltime,2009,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Email_Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Work with borrowers to find mutually beneficial solution ,Very satisfied,"Improve communication and follow-up, Provide more flexible repayment plans"
84,28 to 37,Male,Single,Central,Bachelor,Luanar,2013.0,Environmental_Management,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,monthly_salary,inconvenient,ineffective,neutral,neutral,accountability_reporting,neutral,"Improve communication and follow-up, Simplify repayment methods"
85,28 to 37,Male,Married,Central,Bachelor,Luanar,2010.0,Food_and_Technology,Employed_fulltime,2009,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Partially_paid,Inperson,monthly_salary,convenient,effective,effective,positive,Apply principles of behavioral economics to understand borrowers behaviour Nd design effective collection strategy,Satisfied,"Improve communication and follow-up, Reduce interest rates"
86,21 to 27,Male,Single,Central,Bachelor,Luanar,2011.0,Food_and_Technology,Self_employed,2010,"Above MWK1,000,000",Tuition_Living,not_paid,Employer,none,inconvenient,ineffective,neutral,neutral,Improve tracking with colleges,neutral,"Improve communication and follow-up, Simplify repayment methods"
87,28 to 37,Female,Married,Central,Bachelor,Luanar,2011.0,Food_and_Technology,Employed_fulltime,2010,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Improve tracking with universities,neutral,Improve communication and follow-up
